frame_idx,pcd_file,robot_x,robot_y,robot_yaw_rad,participant_idx,participant_x,participant_y,participant_z
0,1730821379.967765331.pcd,2.524509192987388,-2.6828606547654514,1.281106940237579,0,3.05,0.5,-1.29
0,1730821379.967765331.pcd,2.524509192987388,-2.6828606547654514,1.281106940237579,1,2.05,-2.21,-1.27
0,1730821379.967765331.pcd,2.524509192987388,-2.6828606547654514,1.281106940237579,2,10.34,-1.55,-1.3
0,1730821379.967765331.pcd,2.524509192987388,-2.6828606547654514,1.281106940237579,3,10.22,1.36,-1.32
0,1730821379.967765331.pcd,2.524509192987388,-2.6828606547654514,1.281106940237579,4,7.14,-5.78,-1.41
1,1730821380.067682505.pcd,2.5247177533282774,-2.683378163953404,1.2810870985358167,0,3.05,0.5,-1.29
1,1730821380.067682505.pcd,2.5247177533282774,-2.683378163953404,1.2810870985358167,1,2.05,-2.21,-1.27
1,1730821380.067682505.pcd,2.5247177533282774,-2.683378163953404,1.2810870985358167,2,10.34,-1.55,-1.3
1,1730821380.067682505.pcd,2.5247177533282774,-2.683378163953404,1.2810870985358167,3,10.22,1.36,-1.32
1,1730821380.067682505.pcd,2.5247177533282774,-2.683378163953404,1.2810870985358167,4,7.14,-5.78,-1.41
2,1730821380.167667389.pcd,2.5257120658452634,-2.684810528981696,1.2812061910901582,0,3.05,0.5,-1.29
2,1730821380.167667389.pcd,2.5257120658452634,-2.684810528981696,1.2812061910901582,1,2.05,-2.21,-1.27
2,1730821380.167667389.pcd,2.5257120658452634,-2.684810528981696,1.2812061910901582,2,10.34,-1.55,-1.3
2,1730821380.167667389.pcd,2.5257120658452634,-2.684810528981696,1.2812061910901582,3,10.22,1.36,-1.32
2,1730821380.167667389.pcd,2.5257120658452634,-2.684810528981696,1.2812061910901582,4,7.14,-5.78,-1.41
3,1730821380.267801523.pcd,2.5245896672220223,-2.683415114319728,1.2812051061807082,0,3.05,0.49,-1.29
3,1730821380.267801523.pcd,2.5245896672220223,-2.683415114319728,1.2812051061807082,1,2.05,-2.21,-1.27
3,1730821380.267801523.pcd,2.5245896672220223,-2.683415114319728,1.2812051061807082,2,10.33,-1.54,-1.3
3,1730821380.267801523.pcd,2.5245896672220223,-2.683415114319728,1.2812051061807082,3,10.22,1.36,-1.32
3,1730821380.267801523.pcd,2.5245896672220223,-2.683415114319728,1.2812051061807082,4,7.14,-5.78,-1.41
4,1730821380.367643356.pcd,2.524816036261861,-2.6834917236239857,1.2810180837689578,0,3.05,0.49,-1.29
4,1730821380.367643356.pcd,2.524816036261861,-2.6834917236239857,1.2810180837689578,1,2.05,-2.21,-1.27
4,1730821380.367643356.pcd,2.524816036261861,-2.6834917236239857,1.2810180837689578,2,10.33,-1.54,-1.3
4,1730821380.367643356.pcd,2.524816036261861,-2.6834917236239857,1.2810180837689578,3,10.22,1.35,-1.32
4,1730821380.367643356.pcd,2.524816036261861,-2.6834917236239857,1.2810180837689578,4,7.14,-5.78,-1.41
5,1730821380.467715502.pcd,2.525024784712633,-2.68376284463161,1.2812474879713278,0,3.05,0.49,-1.29
5,1730821380.467715502.pcd,2.525024784712633,-2.68376284463161,1.2812474879713278,1,2.05,-2.21,-1.27
5,1730821380.467715502.pcd,2.525024784712633,-2.68376284463161,1.2812474879713278,2,10.33,-1.54,-1.3
5,1730821380.467715502.pcd,2.525024784712633,-2.68376284463161,1.2812474879713278,3,10.22,1.35,-1.32
5,1730821380.467715502.pcd,2.525024784712633,-2.68376284463161,1.2812474879713278,4,7.14,-5.78,-1.41
6,1730821380.567714453.pcd,2.525141646571001,-2.683328667515352,1.2810090424707776,0,3.05,0.49,-1.29
6,1730821380.567714453.pcd,2.525141646571001,-2.683328667515352,1.2810090424707776,1,2.06,-2.21,-1.27
6,1730821380.567714453.pcd,2.525141646571001,-2.683328667515352,1.2810090424707776,2,10.33,-1.54,-1.3
6,1730821380.567714453.pcd,2.525141646571001,-2.683328667515352,1.2810090424707776,3,10.22,1.35,-1.32
6,1730821380.567714453.pcd,2.525141646571001,-2.683328667515352,1.2810090424707776,4,7.14,-5.78,-1.41
7,1730821380.667709351.pcd,2.525592245458779,-2.683504723908281,1.2812527933812474,0,3.05,0.49,-1.29
7,1730821380.667709351.pcd,2.525592245458779,-2.683504723908281,1.2812527933812474,1,2.06,-2.21,-1.27
7,1730821380.667709351.pcd,2.525592245458779,-2.683504723908281,1.2812527933812474,2,10.33,-1.54,-1.3
7,1730821380.667709351.pcd,2.525592245458779,-2.683504723908281,1.2812527933812474,3,10.22,1.35,-1.32
7,1730821380.667709351.pcd,2.525592245458779,-2.683504723908281,1.2812527933812474,4,7.13,-5.77,-1.41
8,1730821380.767802238.pcd,2.524837192413663,-2.6838659485235707,1.2811682627901564,0,3.05,0.49,-1.29
8,1730821380.767802238.pcd,2.524837192413663,-2.6838659485235707,1.2811682627901564,1,2.06,-2.21,-1.27
8,1730821380.767802238.pcd,2.524837192413663,-2.6838659485235707,1.2811682627901564,2,10.33,-1.54,-1.3
8,1730821380.767802238.pcd,2.524837192413663,-2.6838659485235707,1.2811682627901564,3,10.22,1.35,-1.32
8,1730821380.767802238.pcd,2.524837192413663,-2.6838659485235707,1.2811682627901564,4,7.13,-5.77,-1.41
9,1730821380.867807388.pcd,2.5253269637131326,-2.6836716434029357,1.281008019741742,0,3.05,0.49,-1.29
9,1730821380.867807388.pcd,2.5253269637131326,-2.6836716434029357,1.281008019741742,1,2.06,-2.21,-1.27
9,1730821380.867807388.pcd,2.5253269637131326,-2.6836716434029357,1.281008019741742,2,10.33,-1.54,-1.3
9,1730821380.867807388.pcd,2.5253269637131326,-2.6836716434029357,1.281008019741742,3,10.22,1.35,-1.32
9,1730821380.867807388.pcd,2.5253269637131326,-2.6836716434029357,1.281008019741742,4,7.13,-5.77,-1.41
10,1730821380.967791319.pcd,2.5240085903268503,-2.682870506785543,1.2809938998990034,0,3.05,0.48,-1.29
10,1730821380.967791319.pcd,2.5240085903268503,-2.682870506785543,1.2809938998990034,1,2.06,-2.21,-1.27
10,1730821380.967791319.pcd,2.5240085903268503,-2.682870506785543,1.2809938998990034,2,10.32,-1.53,-1.3
10,1730821380.967791319.pcd,2.5240085903268503,-2.682870506785543,1.2809938998990034,3,10.22,1.35,-1.32
10,1730821380.967791319.pcd,2.5240085903268503,-2.682870506785543,1.2809938998990034,4,7.13,-5.77,-1.41
11,1730821381.067642450.pcd,2.524654213956899,-2.6835328203559987,1.2809080528980037,0,3.05,0.48,-1.29
11,1730821381.067642450.pcd,2.524654213956899,-2.6835328203559987,1.2809080528980037,1,2.06,-2.21,-1.27
11,1730821381.067642450.pcd,2.524654213956899,-2.6835328203559987,1.2809080528980037,2,10.32,-1.53,-1.3
11,1730821381.067642450.pcd,2.524654213956899,-2.6835328203559987,1.2809080528980037,3,10.22,1.34,-1.32
11,1730821381.067642450.pcd,2.524654213956899,-2.6835328203559987,1.2809080528980037,4,7.13,-5.77,-1.41
12,1730821381.167782307.pcd,2.5250145109721265,-2.683538682435074,1.2810452891159865,0,3.05,0.48,-1.29
12,1730821381.167782307.pcd,2.5250145109721265,-2.683538682435074,1.2810452891159865,1,2.06,-2.21,-1.27
12,1730821381.167782307.pcd,2.5250145109721265,-2.683538682435074,1.2810452891159865,2,10.32,-1.53,-1.3
12,1730821381.167782307.pcd,2.5250145109721265,-2.683538682435074,1.2810452891159865,3,10.22,1.34,-1.32
12,1730821381.167782307.pcd,2.5250145109721265,-2.683538682435074,1.2810452891159865,4,7.13,-5.77,-1.41
13,1730821381.267874241.pcd,2.525212530872001,-2.683204557803695,1.281106567884079,0,3.05,0.48,-1.29
13,1730821381.267874241.pcd,2.525212530872001,-2.683204557803695,1.281106567884079,1,2.07,-2.21,-1.27
13,1730821381.267874241.pcd,2.525212530872001,-2.683204557803695,1.281106567884079,2,10.32,-1.53,-1.3
13,1730821381.267874241.pcd,2.525212530872001,-2.683204557803695,1.281106567884079,3,10.22,1.34,-1.32
13,1730821381.267874241.pcd,2.525212530872001,-2.683204557803695,1.281106567884079,4,7.13,-5.77,-1.41
14,1730821381.367696285.pcd,2.5253265477518134,-2.6829464157890075,1.2810196974567098,0,3.05,0.48,-1.29
14,1730821381.367696285.pcd,2.5253265477518134,-2.6829464157890075,1.2810196974567098,1,2.07,-2.21,-1.27
14,1730821381.367696285.pcd,2.5253265477518134,-2.6829464157890075,1.2810196974567098,2,10.32,-1.53,-1.3
14,1730821381.367696285.pcd,2.5253265477518134,-2.6829464157890075,1.2810196974567098,3,10.22,1.34,-1.32
14,1730821381.367696285.pcd,2.5253265477518134,-2.6829464157890075,1.2810196974567098,4,7.12,-5.76,-1.41
