timestamp,robot_x,robot_y,robot_yaw_rad,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
1730821379967765331,4.968712829816786,-0.9592398781124363,1.3421934640573805,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78
1730821380067682505,4.968955589245942,-0.959805884799283,1.3421736223556182,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78
1730821380167667389,4.9697446198047395,-0.9609471715237092,1.3422927149099597,3.05,0.5,2.05,-2.21,10.34,-1.55,10.22,1.36,7.14,-5.78
1730821380267801523,4.968624091415707,-0.95955440841677,1.3422916300005097,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.36,7.14,-5.78
1730821380367643356,4.969172818297443,-0.9600881370788446,1.3421046075887593,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78
1730821380467715502,4.968986146407837,-0.9597985577216632,1.3423340117911293,3.05,0.49,2.05,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78
1730821380567714453,4.969514010312386,-0.9599471811991753,1.3420955662905791,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.14,-5.78
1730821380667709351,4.969544460782359,-0.9595274708057451,1.342339317201049,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77
1730821380767802238,4.968935127821768,-0.9600952903054196,1.342254786609958,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77
1730821380867807388,4.969701090005525,-0.9602926570182508,1.3420945435615435,3.05,0.49,2.06,-2.21,10.33,-1.54,10.22,1.35,7.13,-5.77
1730821380967791319,4.968407050215841,-0.9595260347509096,1.3420804237188049,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.35,7.13,-5.77
1730821381067642450,4.96920060879307,-0.9603981989484094,1.3419945767178052,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77
1730821381167782307,4.969324406310499,-0.9600685969531964,1.342131812935788,3.05,0.48,2.06,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77
1730821381267874241,4.969416809497458,-0.9595846912585786,1.3421930917038805,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.13,-5.77
1730821381367696285,4.969680548748953,-0.959538884817509,1.3421062212765114,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.12,-5.76
1730821381467736244,4.968786361287993,-0.9597327371557225,1.342377785246583,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.12,-5.76
1730821381567695379,4.968980430232705,-0.9603129265721844,1.3424183294029246,3.05,0.48,2.07,-2.21,10.32,-1.53,10.22,1.34,7.12,-5.76
1730821381667668343,4.969112948561145,-0.9599842597143096,1.3423765462387556,3.05,0.47,2.07,-2.21,10.31,-1.52,10.22,1.34,7.12,-5.76
1730821381767738342,4.969835858052262,-0.9610896015334129,1.3421311632526964,3.05,0.47,2.07,-2.21,10.31,-1.52,10.22,1.33,7.12,-5.76
1730821381867717266,4.969737642758473,-0.9595317834280861,1.3420922236124624,3.05,0.47,2.07,-2.21,10.31,-1.52,10.22,1.33,7.12,-5.76
1730821381967755318,4.96919890215872,-0.9607283497396666,1.3422841736943272,3.05,0.47,2.07,-2.21,10.31,-1.52,10.22,1.33,7.12,-5.76
1730821382067759275,4.969626521408065,-0.9597132044389167,1.3421301837962933,3.06,0.46,2.1,-2.21,10.3,-1.52,10.22,1.31,7.12,-5.74
